adaptiv?;n;sigma hat;h;Histogram RMSE;Histogram KL Divergenz;Diff between histogram integral and ground truth
nicht-adaptiv;10000;2.08;0.35;0.0081;0.0059;0.042517
adaptiv;10000;2.08;0.35;0.0125;0.0231;0.076351
nicht-adaptiv;10000;2.08;0.35;0.0091;0.0155;0.027048
adaptiv;10000;2.08;0.35;0.0122;0.0378;0.051897
nicht-adaptiv;10000;2.09;0.35;0.0078;0.0059;0.017442
adaptiv;10000;2.09;0.35;0.0123;0.0298;0.0188
nicht-adaptiv;10000;2.06;0.35;0.0088;0.0061;0.010183
adaptiv;10000;2.06;0.35;0.0121;0.0162;0.063657
nicht-adaptiv;10000;2.09;0.35;0.0078;0.0057;0.003602
adaptiv;10000;2.09;0.35;0.0129;0.0207;0.079413
nicht-adaptiv;10000;2.08;0.35;0.0074;0.0059;0.016647
adaptiv;10000;2.08;0.35;0.0113;0.0199;0.051097
nicht-adaptiv;10000;2.07;0.35;0.0077;0.0061;0.027685
adaptiv;10000;2.07;0.35;0.0111;0.0144;0.08128
nicht-adaptiv;10000;2.09;0.35;0.0071;0.0056;0.004937
adaptiv;10000;2.09;0.35;0.0116;0.027;0.056971
nicht-adaptiv;10000;2.09;0.35;0.0081;0.01;0.000588
adaptiv;10000;2.09;0.35;0.0118;0.0289;0.035925
nicht-adaptiv;10000;2.08;0.35;0.0077;0.0065;0.024762
adaptiv;10000;2.08;0.35;0.0116;0.0137;0.113888
