adaptiv?;n;sigma hat;h;Histogram RMSE;Histogram KL Divergenz;Diff between histogram integral and ground truth
nicht-adaptiv;10000;2.08;0.35;0.0081;0.0059;0.042517
adaptiv;10000;2.08;0.35;0.0244;0.0718;0.116828
nicht-adaptiv;10000;2.08;0.35;0.0091;0.0155;0.027048
adaptiv;10000;2.08;0.35;0.0222;0.0836;0.176411
nicht-adaptiv;10000;2.09;0.35;0.0078;0.0059;0.017442
adaptiv;10000;2.09;0.35;0.023;0.0652;0.122931
nicht-adaptiv;10000;2.06;0.35;0.0088;0.0061;0.010183
adaptiv;10000;2.06;0.35;0.0228;0.0538;0.108064
nicht-adaptiv;10000;2.09;0.35;0.0078;0.0057;0.003602
adaptiv;10000;2.09;0.35;0.0244;0.067;0.096552
nicht-adaptiv;10000;2.08;0.35;0.0074;0.0059;0.016647
adaptiv;10000;2.08;0.35;0.0223;0.054;0.130117
nicht-adaptiv;10000;2.07;0.35;0.0077;0.0061;0.027685
adaptiv;10000;2.07;0.35;0.022;0.0457;0.141749
nicht-adaptiv;10000;2.09;0.35;0.0071;0.0056;0.004937
adaptiv;10000;2.09;0.35;0.0218;0.0645;0.131579
nicht-adaptiv;10000;2.09;0.35;0.0081;0.01;0.000588
adaptiv;10000;2.09;0.35;0.023;0.0688;0.134758
nicht-adaptiv;10000;2.08;0.35;0.0077;0.0065;0.024762
adaptiv;10000;2.08;0.35;0.0223;0.0572;0.157122
