adaptiv?;n;sigma hat;h;Histogram RMSE;Histogram KL Divergenz;Diff between histogram integral and ground truth
nicht-adaptiv;10000;2.08;0.35;0.0081;0.0059;0.042517
adaptiv;10000;2.08;0.35;0.0122;0.022;0.009225
nicht-adaptiv;10000;2.08;0.35;0.0091;0.0155;0.027048
adaptiv;10000;2.08;0.35;0.0117;0.0211;0.045149
nicht-adaptiv;10000;2.09;0.35;0.0078;0.0059;0.017442
adaptiv;10000;2.09;0.35;0.0116;0.0299;0.044021
nicht-adaptiv;10000;2.06;0.35;0.0088;0.0061;0.010183
adaptiv;10000;2.06;0.35;0.0117;0.0183;0.004119
nicht-adaptiv;10000;2.09;0.35;0.0078;0.0057;0.003602
adaptiv;10000;2.09;0.35;0.011;0.0178;0.015281
nicht-adaptiv;10000;2.08;0.35;0.0074;0.0059;0.016647
adaptiv;10000;2.08;0.35;0.0109;0.0297;0.034083
nicht-adaptiv;10000;2.07;0.35;0.0077;0.0061;0.027685
adaptiv;10000;2.07;0.35;0.0098;0.0193;0.000555
nicht-adaptiv;10000;2.09;0.35;0.0071;0.0056;0.004937
adaptiv;10000;2.09;0.35;0.0111;0.0263;0.002073
nicht-adaptiv;10000;2.09;0.35;0.0081;0.01;0.000588
adaptiv;10000;2.09;0.35;0.0115;0.0215;0.012833
nicht-adaptiv;10000;2.08;0.35;0.0077;0.0065;0.024762
adaptiv;10000;2.08;0.35;0.012;0.0258;0.00064
