# CSV-File created with merge-csv.com
# -----------------------------------------------------------

adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;100;1.98;0.84;0.84;0.4898;1.1877;0.0403;0.097411
adaptiv;100;1.98;0.84;40;0.5045;1.0249;0.0415;0.097412
nicht-adaptiv;100;1.92;0.81;0.84;0.5178;1.3627;0.0509;0.043743
adaptiv;100;1.92;0.81;40;0.5311;1.2184;0.0529;0.043742
nicht-adaptiv;100;1.98;0.83;0.84;0.4997;1.1713;0.0444;0.026347
adaptiv;100;1.98;0.83;40;0.508;0.9773;0.0455;0.026354
nicht-adaptiv;100;1.92;0.81;0.84;0.5194;1.1404;0.0411;0.257963
adaptiv;100;1.92;0.81;40;0.5351;1.0695;0.0431;0.257973
nicht-adaptiv;100;2.28;0.96;0.84;0.6813;1.0486;0.0502;0.202551
adaptiv;100;2.28;0.96;40;0.6809;1.0293;0.0496;0.202553
nicht-adaptiv;100;2.15;0.91;0.84;0.7689;1.484;0.0941;0.205091
adaptiv;100;2.15;0.91;40;0.7781;1.2039;0.0948;0.205089
nicht-adaptiv;100;2.06;0.87;0.84;0.5837;1.5171;0.0462;0.000568
adaptiv;100;2.06;0.87;40;0.6116;1.3858;0.049;0.000565
nicht-adaptiv;100;2.08;0.88;0.84;0.4495;0.9766;0.0242;0.075117
adaptiv;100;2.08;0.88;40;0.451;0.6645;0.0251;0.075108
nicht-adaptiv;100;2.18;0.92;0.84;0.8824;1.4688;0.0855;0.058833
adaptiv;100;2.18;0.92;40;0.8898;1.1264;0.0867;0.058832
nicht-adaptiv;100;1.93;0.81;0.84;0.4234;1.2569;0.0227;0.003821
adaptiv;100;1.93;0.81;40;0.435;0.7706;0.0234;0.003816
nicht-adaptiv;1000;2.08;0.55;0.55;0.2262;0.443;0.0097;0.008722
adaptiv;1000;2.08;0.55;400;0.2116;0.5318;0.0081;0.008709
nicht-adaptiv;1000;2.15;0.57;0.55;0.1557;0.2697;0.0106;0.008674
adaptiv;1000;2.15;0.57;400;0.179;0.3686;0.0141;0.008635
nicht-adaptiv;1000;2.11;0.56;0.55;0.195;0.407;0.0081;0.034439
adaptiv;1000;2.11;0.56;400;0.1811;0.684;0.0092;0.034405
nicht-adaptiv;1000;2.12;0.56;0.55;0.2197;0.4443;0.0086;0.004068
adaptiv;1000;2.12;0.56;400;0.1696;0.6745;0.006;0.00405
nicht-adaptiv;1000;2.14;0.57;0.55;0.2568;0.4395;0.0083;0.071449
adaptiv;1000;2.14;0.57;400;0.2848;0.5156;0.0089;0.071412
nicht-adaptiv;1000;2.14;0.57;0.55;0.303;0.5432;0.0141;0.00109
adaptiv;1000;2.14;0.57;400;0.2847;0.5861;0.0142;0.001087
nicht-adaptiv;1000;2.08;0.55;0.55;0.2401;0.4315;0.0075;0.072506
adaptiv;1000;2.08;0.55;400;0.2747;0.5881;0.0098;0.072548
nicht-adaptiv;1000;2.06;0.55;0.55;0.2098;0.5151;0.0063;0.087242
adaptiv;1000;2.06;0.55;400;0.212;0.6591;0.0071;0.087183
nicht-adaptiv;1000;2.07;0.55;0.55;0.1266;0.2755;0.0087;0.053883
adaptiv;1000;2.07;0.55;400;0.1273;0.3329;0.0077;0.053828
nicht-adaptiv;1000;2.12;0.56;0.55;0.2089;0.4207;0.0068;0.000714
adaptiv;1000;2.12;0.56;400;0.2197;0.5657;0.0065;0.000755
nicht-adaptiv;10000;2.08;0.35;0.35;0.0684;0.1311;0.0014;0.017248
adaptiv;10000;2.08;0.35;2000;0.0649;0.1969;0.0013;0.017239
nicht-adaptiv;10000;2.08;0.35;0.35;0.0689;0.153;0.0018;0.001626
adaptiv;10000;2.08;0.35;2000;0.0663;0.1967;0.0016;0.001615
nicht-adaptiv;10000;2.09;0.35;0.35;0.0461;0.1263;0.0013;0.002606
adaptiv;10000;2.09;0.35;2000;0.0443;0.1872;0.0011;0.002609
nicht-adaptiv;10000;2.06;0.35;0.35;0.0649;0.1411;0.001;0.005402
adaptiv;10000;2.06;0.35;2000;0.0596;0.1881;0.0009;0.005331
nicht-adaptiv;10000;2.09;0.35;0.35;0.0645;0.124;0.0012;0.001293
adaptiv;10000;2.09;0.35;2000;0.065;0.1749;0.0012;0.001304
nicht-adaptiv;10000;2.08;0.35;0.35;0.0572;0.1191;0.0014;0.001561
adaptiv;10000;2.08;0.35;2000;0.0595;0.1751;0.0014;0.001598
nicht-adaptiv;10000;2.07;0.35;0.35;0.0486;0.1231;0.0009;0.014007
adaptiv;10000;2.07;0.35;2000;0.051;0.1572;0.001;0.01401
nicht-adaptiv;10000;2.09;0.35;0.35;0.0376;0.117;0.0008;0.008587
adaptiv;10000;2.09;0.35;2000;0.0377;0.1818;0.0007;0.008604
nicht-adaptiv;10000;2.09;0.35;0.35;0.0503;0.132;0.0013;0.001331
