# CSV-File created with merge-csv.com
# -----------------------------------------------------------

adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;100;1.98;0.84;0.84;0.4898;1.1877;0.0403;0.097411
adaptiv;100;1.98;0.84;40;0.5045;1.0249;0.0415;0.097412
nicht-adaptiv;100;1.92;0.81;0.84;0.5178;1.3627;0.0509;0.043743
adaptiv;100;1.92;0.81;40;0.5311;1.2184;0.0529;0.043742
nicht-adaptiv;100;1.98;0.83;0.84;0.4997;1.1713;0.0444;0.026347
adaptiv;100;1.98;0.83;40;0.508;0.9773;0.0455;0.026354
nicht-adaptiv;100;1.92;0.81;0.84;0.5194;1.1404;0.0411;0.257963
adaptiv;100;1.92;0.81;40;0.5351;1.0695;0.0431;0.257973
nicht-adaptiv;100;2.28;0.96;0.84;0.6813;1.0486;0.0502;0.202551
adaptiv;100;2.28;0.96;40;0.6809;1.0293;0.0496;0.202553
nicht-adaptiv;100;2.15;0.91;0.84;0.7689;1.484;0.0941;0.205091
adaptiv;100;2.15;0.91;40;0.7781;1.2039;0.0948;0.205089
nicht-adaptiv;100;2.06;0.87;0.84;0.5837;1.5171;0.0462;0.000568
adaptiv;100;2.06;0.87;40;0.6116;1.3858;0.049;0.000565
nicht-adaptiv;100;2.08;0.88;0.84;0.4495;0.9766;0.0242;0.075117
adaptiv;100;2.08;0.88;40;0.451;0.6645;0.0251;0.075108
nicht-adaptiv;100;2.18;0.92;0.84;0.8824;1.4688;0.0855;0.058833
adaptiv;100;2.18;0.92;40;0.8898;1.1264;0.0867;0.058832
nicht-adaptiv;100;1.93;0.81;0.84;0.4234;1.2569;0.0227;0.003821
adaptiv;100;1.93;0.81;40;0.435;0.7706;0.0234;0.003816
