adaptiv?;n;sigma hat;h;Histogram RMSE;Histogram KL Divergenz;Diff between histogram integral and ground truth;Density RMSE;Density KL Divergenz;Diff between density integral and ground truth
nicht-adaptiv;1000;2.08;0.55;0.0178;0.0236;0.019006;0.0091;0.01;0.008371
adaptiv;1000;2.08;0.55;0.0292;0.1364;0.015707;0.0115;0.0126;0.230595
nicht-adaptiv;1000;2.15;0.57;0.0168;0.0226;0.003563;0.0097;0.0106;0.009401
adaptiv;1000;2.15;0.57;0.0298;0.1766;0.917781;0.0092;0.0102;0.31647
nicht-adaptiv;1000;2.11;0.56;0.0167;0.0225;0.390253;0.0078;0.0081;0.011595
adaptiv;1000;2.11;0.56;0.0303;0.1377;0.896958;0.01;0.0111;0.42436
nicht-adaptiv;1000;2.12;0.56;0.0184;0.0329;0.158382;0.0089;0.0081;0.158537
adaptiv;1000;2.12;0.56;0.0318;0.128;0.149602;0.0128;0.0162;3.031374
nicht-adaptiv;1000;2.14;0.57;0.0183;0.0167;0.009747;0.0104;0.0082;0.005111
adaptiv;1000;2.14;0.57;0.0284;0.1389;0.671275;0.0098;0.0094;0.466708
nicht-adaptiv;1000;2.14;0.57;0.0219;0.0371;0.074822;0.012;0.014;0.012971
adaptiv;1000;2.14;0.57;0.0309;0.1659;0.573188;0.0138;0.0185;0.37485
nicht-adaptiv;1000;2.08;0.55;0.0179;0.0256;5.096382;0.01;0.0075;0.239935
adaptiv;1000;2.08;0.55;0.0283;0.1127;2.320181;0.0092;0.0091;2.374065
nicht-adaptiv;1000;2.06;0.55;0.0214;0.0357;0.183161;0.0087;0.0063;0.19385
adaptiv;1000;2.06;0.55;0.0304;0.1131;3.888081;0.0106;0.0119;1.710283
nicht-adaptiv;1000;2.07;0.55;0.0169;0.0257;0.001839;0.0078;0.0087;0.003901
adaptiv;1000;2.07;0.55;0.0317;0.2155;0.543928;0.0098;0.0144;0.379918
nicht-adaptiv;1000;2.12;0.56;0.0168;0.0127;0.006094;0.0084;0.0066;0.004099
adaptiv;1000;2.12;0.56;0.0301;0.1552;1.253729;0.0094;0.0076;0.432055
