adaptiv?;n;sigma hat;h;Histogram RMSE;Histogram KL Divergenz;Diff between histogram integral and ground truth;Density RMSE;Density KL Divergenz;Diff between density integral and ground truth
nicht-adaptiv;10000;2.08;0.35;0.0081;0.0059;0.002416;0.0043;0.0014;0.006587
adaptiv;10000;2.08;0.35;0.0244;0.0718;20.903134;0.0046;0.0015;0.000941
nicht-adaptiv;10000;2.08;0.35;0.0091;0.0155;2.226515;0.0041;0.0018;0.004224
adaptiv;10000;2.08;0.35;0.0222;0.0836;22.483768;0.0044;0.0017;0.002996
nicht-adaptiv;10000;2.09;0.35;0.0078;0.0059;0.00134;0.0028;0.0012;0.000946
adaptiv;10000;2.09;0.35;0.023;0.0652;21.200526;0.0028;0.0013;0.02145
nicht-adaptiv;10000;2.06;0.35;0.0088;0.0061;0.002355;0.0041;0.001;0.013323
adaptiv;10000;2.06;0.35;0.0228;0.0538;21.393301;0.0047;0.0014;0.007419
nicht-adaptiv;10000;2.09;0.35;0.0078;0.0057;0.004466;0.004;0.0012;0.002732
adaptiv;10000;2.09;0.35;0.0244;0.067;20.55486;0.0039;0.0012;0.009566
nicht-adaptiv;10000;2.08;0.35;0.0074;0.0059;0.001243;0.0035;0.0014;0.006614
adaptiv;10000;2.08;0.35;0.0223;0.054;22.014797;0.0032;0.001;0.003107
nicht-adaptiv;10000;2.07;0.35;0.0077;0.0061;0.001805;0.003;0.001;0.000038
adaptiv;10000;2.07;0.35;0.022;0.0457;22.467421;0.0027;0.0009;0.011291
nicht-adaptiv;10000;2.09;0.35;0.0071;0.0056;0.000607;0.0023;0.0008;0.001079
adaptiv;10000;2.09;0.35;0.0218;0.0645;21.408428;0.0023;0.0007;0.011058
nicht-adaptiv;10000;2.09;0.35;0.0081;0.01;0.952098;0.0031;0.0013;0.002688
adaptiv;10000;2.09;0.35;0.023;0.0688;21.814363;0.0032;0.0012;0.009072
nicht-adaptiv;10000;2.08;0.35;0.0077;0.0065;0.000808;0.0035;0.0015;0.005807
adaptiv;10000;2.08;0.35;0.0223;0.0572;22.397219;0.0038;0.0015;0.017366
