adaptiv?;n;sigma hat;h;Histogram RMSE;Histogram KL Divergenz;Diff between histogram integral and ground truth;Density RMSE;Density KL Divergenz;Diff between density integral and ground truth
nicht-adaptiv;100000;2.09;0.22;0.0064;0.0044;0.000041;0.0017;0.0004;0.011473
adaptiv;100000;2.09;0.22;0.0097;0.0697;1.456996;0.0016;0.0004;0.000572
nicht-adaptiv;100000;2.09;0.22;0.0063;0.0044;0.000015;0.0014;0.0003;0.013272
adaptiv;100000;2.09;0.22;0.0096;0.0666;0.615583;0.0014;0.0003;0.000945
nicht-adaptiv;100000;2.09;0.22;0.0064;0.0076;0.909224;0.0013;0.0002;0.003874
adaptiv;100000;2.09;0.22;0.0095;0.0662;0.210539;0.0013;0.0002;0.002627
nicht-adaptiv;100000;2.09;0.22;0.0066;0.0104;1.616489;0.0013;0.0002;0.003411
adaptiv;100000;2.09;0.22;0.0096;0.0608;0.714978;0.0012;0.0002;0.007845
nicht-adaptiv;100000;2.09;0.22;0.0063;0.0042;0.000042;0.0011;0.0002;0.011365
adaptiv;100000;2.09;0.22;0.0095;0.0637;0.135105;0.001;0.0002;0.00176
nicht-adaptiv;100000;2.09;0.22;0.0062;0.0042;0.000024;0.0014;0.0002;0.00056
adaptiv;100000;2.09;0.22;0.0095;0.0632;0.742292;0.0015;0.0003;0.000331
nicht-adaptiv;100000;2.09;0.22;0.0061;0.0042;0.000023;0.0011;0.0002;0.003631
adaptiv;100000;2.09;0.22;0.0094;0.0698;0.974078;0.0012;0.0003;0.001664
nicht-adaptiv;100000;2.08;0.22;0.0063;0.0042;0.000022;0.0014;0.0003;0.007865
adaptiv;100000;2.08;0.22;0.0098;0.0731;0.950796;0.0013;0.0002;0.00056
nicht-adaptiv;100000;2.09;0.22;0.0065;0.0077;0.875229;0.0012;0.0002;0.001966
adaptiv;100000;2.09;0.22;0.0095;0.0636;1.009356;0.0012;0.0001;0.010361
nicht-adaptiv;100000;2.09;0.22;0.0065;0.0044;0.000061;0.0016;0.0004;0.006125
adaptiv;100000;2.09;0.22;0.0095;0.0581;1.287926;0.0016;0.0003;0.002639
