adaptiv?;n;sigma hat;h;Density RMSE;Density KL Divergenz;Diff between density integral and ground truth;Histogram RMSE;Histogram KL Divergenz;Diff between histogram integral and ground truth;Diff between CDF and ground truth integral
nicht-adaptiv;100000;2.09;0.22;0.0293;0.0004;0.000142;0.1087;0.0044;0.004774;0.012636
adaptiv;100000;2.09;11045.2;0.0271;0.0004;0.000081;0.1345;0.032;0.020805;0.012636
nicht-adaptiv;100000;2.09;0.22;0.0248;0.0003;0.003872;0.1076;0.0044;0.018961;0.012116
adaptiv;100000;2.09;11066.28;0.0243;0.0003;0.003938;0.1321;0.0333;0.018201;0.012116
nicht-adaptiv;100000;2.09;0.22;0.0218;0.0002;0.003487;0.1091;0.0076;0.000811;0.01546
adaptiv;100000;2.09;11044.02;0.0221;0.0002;0.003487;0.132;0.03;0.039181;0.01546
nicht-adaptiv;100000;2.09;0.22;0.0212;0.0002;0.005506;0.1112;0.0104;0.040527;0.023419
adaptiv;100000;2.09;11046.46;0.0193;0.0002;0.005506;0.1337;0.0289;0.036962;0.023419
nicht-adaptiv;100000;2.09;0.22;0.018;0.0002;0.00312;0.1065;0.0042;0.008685;0.018888
adaptiv;100000;2.09;11064.26;0.0162;0.0002;0.003211;0.1294;0.0307;0.009623;0.018888
nicht-adaptiv;100000;2.09;0.22;0.0234;0.0002;0.000807;0.1059;0.0042;0.004269;0.00847
adaptiv;100000;2.09;11055.44;0.0245;0.0003;0.000784;0.1285;0.0314;0.021065;0.00847
nicht-adaptiv;100000;2.09;0.22;0.019;0.0002;0.001635;0.1059;0.0042;0.00371;0.020616
adaptiv;100000;2.09;11046.67;0.019;0.0002;0.001599;0.1304;0.0356;0.040561;0.020616
nicht-adaptiv;100000;2.08;0.22;0.024;0.0003;0.005421;0.1071;0.0042;0.000334;0.024635
adaptiv;100000;2.08;11034.71;0.0224;0.0002;0.005465;0.131;0.0311;0.03802;0.024635
nicht-adaptiv;100000;2.09;0.22;0.0196;0.0002;0.012713;0.1102;0.0077;0.01004;0.016241
adaptiv;100000;2.09;11088.62;0.0192;0.0002;0.012713;0.126;0.0262;0.008518;0.016241
nicht-adaptiv;100000;2.09;0.22;0.0278;0.0004;0.007327;0.1094;0.0044;0.007195;0.023523
adaptiv;100000;2.09;11051.79;0.0273;0.0004;0.007368;0.1287;0.0283;0.044173;0.023523
